j,vdac,v1,v2,time
0,0,0.090991,0.0569512,0.398865
5,0.0646555,0.129966,0.0599725,0.801971
10,0.129361,0.186967,0.0879698,1.20523
15,0.194067,0.24699,0.12498,1.60785
20,0.258773,0.30797,0.164962,2.01038
25,0.323479,0.365978,0.203987,2.4129
30,0.388185,0.426958,0.24699,2.81543
35,0.45289,0.483959,0.28395,3.21796
40,0.517596,0.544989,0.323982,3.62048
45,0.582302,0.604962,0.367993,4.02301
50,0.647008,0.664985,0.402989,4.42551
55,0.711714,0.724957,0.442971,4.82806
60,0.77642,0.78498,0.484967,5.23059
65,0.841126,0.837953,0.522984,5.63309
70,0.905832,0.905982,0.561959,6.08813
75,0.970537,0.965955,0.602998,6.49121
80,1.03524,1.02799,0.641973,6.89447
85,1.09995,1.08796,0.683969,7.29703
90,1.16465,1.14995,0.722993,7.69861
95,1.22936,1.20897,0.762975,8.10114
100,1.29407,1.26798,0.802957,8.50366
105,1.35877,1.32796,0.843996,8.90622
110,1.42348,1.39095,0.883977,9.30875
115,1.48818,1.45198,0.922952,9.7113
120,1.55289,1.51296,0.963991,10.1139
125,1.6176,1.568,1.00498,10.5164
130,1.6823,1.64695,1.04496,10.9189
135,1.74706,1.72097,1.09396,11.3214
140,1.81171,1.76599,1.14396,11.826
145,1.87642,1.82395,1.17498,12.2281
150,1.94112,1.88498,1.21395,12.6303
155,2.00588,1.95099,1.25499,13.0329
160,2.07054,2.001,1.29996,13.4354
165,2.13524,2.06097,1.33198,13.838
170,2.19995,2.11797,1.37197,14.2405
175,2.2647,2.18897,1.40998,14.643
180,2.32936,2.23696,1.45797,15.0455
185,2.39407,2.29497,1.49,15.448
190,2.45877,2.35499,1.52796,15.8506
195,2.52353,2.42997,1.56895,16.2531
200,2.58818,2.47896,1.61498,16.6556
205,2.65289,2.53999,1.646,17.0581
210,2.7176,2.60299,1.68698,17.5144
215,2.78235,2.68199,1.72495,17.9165
220,2.84701,2.70395,1.77299,18.3188
225,2.91171,2.70395,1.80396,18.7216
230,2.97642,2.70395,1.84298,19.1241
235,3.04117,2.70395,1.88196,19.5266
240,3.10583,2.70395,1.92597,19.9292
245,3.17054,2.70395,1.95296,20.3317
250,3.23524,2.70395,1.98498,20.7342
